thick,crossplane,y,x,r,temp
1.2196149705202897e-09,0.7523209349507574,1,2,0.2,300
1.6456916534778168e-09,0.8546909361565738,1,2,0.2,300
2.017349457894543e-09,0.9479992343944881,1,2,0.2,300
2.397985940412675e-09,1.0808832026176554,1,2,0.2,300
3.1101974644308018e-09,1.1631407279136479,1,2,0.2,300
4.020596382280034e-09,1.2791273767588525,1,2,0.2,300
4.96782151937976e-09,1.4095571862227951,1,2,0.2,300
6.247570235083936e-09,1.528401808835393,1,2,0.2,300
7.88027041255457e-09,1.6562972758629624,1,2,0.2,300
9.94385514089643e-09,1.7911685406938054,1,2,0.2,300
1.2609031984622654e-08,1.9112199371951548,1,2,0.2,300
1.5802475588397952e-08,2.0543493670541646,1,2,0.2,300
1.9937023193352263e-08,2.204670609573887,1,2,0.2,300
2.5119955340360637e-08,2.364092640039848,1,2,0.2,300
3.169811490582384e-08,2.5245233200250445,1,2,0.2,300
3.9842094096003095e-08,2.6977425493781344,1,2,0.2,300
5.008284866867397e-08,2.873453362494301,1,2,0.2,300
6.315180852787668e-08,3.0438932034528117,1,2,0.2,300
7.946916782488001e-08,3.262984156765708,1,2,0.2,300
9.995353511089452e-08,3.4432528007593404,1,2,0.2,300
1.2582079818118258e-07,3.6547482960999385,1,2,0.2,300
1.5850292402744097e-07,3.878755141036878,1,2,0.2,300
1.9952565329918834e-07,4.103622208517378,1,2,0.2,300
2.511851513101285e-07,4.337674985281464,1,2,0.2,300
3.161914006737609e-07,4.5751364985674225,1,2,0.2,300
3.98090098576106e-07,4.809199896976132,1,2,0.2,300
5.011509576557082e-07,5.062286260528996,1,2,0.2,300
6.309703876005185e-07,5.298735277126084,1,2,0.2,300
7.942930632450649e-07,5.528805044055078,1,2,0.2,300
9.999880066645595e-07,5.782173130637417,1,2,0.2,300
1.2589085208665788e-06,6.006038049392887,1,2,0.2,300
1.5848432062656868e-06,6.227227549810433,1,2,0.2,300
1.9952044507694746e-06,6.437532675370626,1,2,0.2,300
2.5118578762740818e-06,6.640478177299624,1,2,0.2,300
3.1623049606313995e-06,6.822153058929391,1,2,0.2,300
3.981055087406375e-06,7.0037032265702575,1,2,0.2,300
5.011812934045383e-06,7.175226901265992,1,2,0.2,300
6.309657348390622e-06,7.325931036165462,1,2,0.2,300
7.94332651364461e-06,7.434261733397826,1,2,0.2,300
1.0000058907751413e-05,7.5582647730441845,1,2,0.2,300
1.2589258802045626e-05,7.619653480677337,1,2,0.2,300
1.5848924152849683e-05,7.715088501465327,1,2,0.2,300
1.9952629762109436e-05,7.777553574257756,1,2,0.2,300
2.5118916707291418e-05,7.849654808203905,1,2,0.2,300
3.1622690153735305e-05,7.89719113030368,1,2,0.2,300
3.98106234564708e-05,7.95152053103049,1,2,0.2,300
5.011871455832139e-05,7.940354955832142,1,2,0.2,300
6.309580057689616e-05,7.975233825811335,1,2,0.2,300
7.943275996081351e-05,8.000510044957515,1,2,0.2,300
9.99999245553873e-05,8.011371740909064,1,2,0.2,300
1.1776519314823429e-09,0.7165688240712206,2,2,0.5,300
1.5846711765440162e-09,0.7897811082372812,2,2,0.5,300
1.9965118161343228e-09,0.8636754785851346,2,2,0.5,300
2.5248644396027583e-09,0.9605872557816452,2,2,0.5,300
3.0563000034725665e-09,1.069308782823428,2,2,0.5,300
3.9759136243388044e-09,1.1583415333164184,2,2,0.5,300
4.912816465728829e-09,1.2757746440029964,2,2,0.5,300
6.2816435454348135e-09,1.3980590759979514,2,2,0.5,300
7.976733139774226e-09,1.5210830884299038,2,2,0.5,300
9.964986364282466e-09,1.6505343370494565,2,2,0.5,300
1.255351369121876e-08,1.7901596055323157,2,2,0.5,300
1.581724328054137e-08,1.9490823403071758,2,2,0.5,300
1.9960783651275632e-08,2.081551718024167,2,2,0.5,300
2.5089160717197228e-08,2.2573590752200343,2,2,0.5,300
3.1553923542866e-08,2.3987124726201974,2,2,0.5,300
3.984068146789308e-08,2.5814391687224796,2,2,0.5,300
5.0199619864857565e-08,2.7434344176129444,2,2,0.5,300
6.302726413846371e-08,2.9289396801622924,2,2,0.5,300
7.941173213829687e-08,3.1143566815198382,2,2,0.5,300
9.993873487005409e-08,3.3397566116555666,2,2,0.5,300
1.2590713884342942e-07,3.5298104536821753,2,2,0.5,300
1.5854812362924748e-07,3.7260940197122774,2,2,0.5,300
1.9953387171014988e-07,3.952111277378062,2,2,0.5,300
2.5120156828349795e-07,4.1715663774637335,2,2,0.5,300
3.162062058379426e-07,4.372047576280958,2,2,0.5,300
3.980208344185719e-07,4.6069608624628255,2,2,0.5,300
5.012479512890024e-07,4.811868254740574,2,2,0.5,300
6.309569307324592e-07,5.0251843468904,2,2,0.5,300
7.943307317266784e-07,5.247305007356386,2,2,0.5,300
1.0000146084795289e-06,5.474088105983881,2,2,0.5,300
1.2588673894440343e-06,5.65954435981797,2,2,0.5,300
1.5848848024657915e-06,5.852287048330399,2,2,0.5,300
1.9951752929650074e-06,6.045010255343909,2,2,0.5,300
2.5118313424208015e-06,6.208464371472835,2,2,0.5,300
3.162276260452659e-06,6.367040763105921,2,2,0.5,300
3.981053277926598e-06,6.503135352621405,2,2,0.5,300
5.011948603252515e-06,6.62132334534984,2,2,0.5,300
6.309488657881497e-06,6.728358774540195,2,2,0.5,300
7.943287780474044e-06,6.823754388359237,2,2,0.5,300
9.999995813241863e-06,6.890214090233916,2,2,0.5,300
1.2589209718874714e-05,6.974154896092675,2,2,0.5,300
1.58489880383202e-05,7.031834445721944,2,2,0.5,300
1.9952613889640648e-05,7.082387523606668,2,2,0.5,300
2.5118876537704784e-05,7.145930106797722,2,2,0.5,300
3.162279295336183e-05,7.156365542785736,2,2,0.5,300
3.981069281116575e-05,7.1597572010507,2,2,0.5,300
5.011873877704941e-05,7.188936143538069,2,2,0.5,300
6.309578517959965e-05,7.204319014681236,2,2,0.5,300
7.943277336490229e-05,7.228222279113974,2,2,0.5,300
0.00010000001852167147,7.248534577553736,2,2,0.5,300
1.2402892317639175e-09,0.6469322313853424,2,2,0.2,200
1.6044448443695735e-09,0.7063289112248163,2,2,0.2,200
1.998810361067812e-09,0.8118756894454648,2,2,0.2,200
2.4504835615935495e-09,0.881355410529448,2,2,0.2,200
3.1170657230929774e-09,0.9799986007728612,2,2,0.2,200
4.1353181655351765e-09,1.0600125324633343,2,2,0.2,200
4.999282756119975e-09,1.1512135368425318,2,2,0.2,200
6.140302056353196e-09,1.2529270226714135,2,2,0.2,200
7.889787928551102e-09,1.3530580399716596,2,2,0.2,200
1.0000268605303634e-08,1.433157688050067,2,2,0.2,200
1.263337076009251e-08,1.5624693775768963,2,2,0.2,200
1.5878496102993407e-08,1.662013975794212,2,2,0.2,200
1.9966838946497095e-08,1.7582454997068264,2,2,0.2,200
2.5095220569867436e-08,1.854732679483795,2,2,0.2,200
3.1620086812551787e-08,1.9581978754218172,2,2,0.2,200
3.9744289565359464e-08,2.0558575932482266,2,2,0.2,200
5.0087205490519135e-08,2.1757405524936346,2,2,0.2,200
6.314518237336284e-08,2.2887872048590685,2,2,0.2,200
7.93902133466404e-08,2.3884234152804598,2,2,0.2,200
9.993452498032142e-08,2.5091253913160814,2,2,0.2,200
1.258502954219022e-07,2.61447705082973,2,2,0.2,200
1.584509372294025e-07,2.7331032130796307,2,2,0.2,200
1.9958437999759027e-07,2.846404792328381,2,2,0.2,200
2.5119337942638293e-07,2.9459419224932044,2,2,0.2,200
3.161923497553574e-07,3.0441047908280585,2,2,0.2,200
3.980576270528644e-07,3.1830126664683958,2,2,0.2,200
5.012233371905994e-07,3.2956035489344004,2,2,0.2,200
6.310139723049983e-07,3.3926670588626267,2,2,0.2,200
7.943667039120758e-07,3.5193600965888776,2,2,0.2,200
9.9998550880738e-07,3.610272544921329,2,2,0.2,200
1.258915849982441e-06,3.706095999864013,2,2,0.2,200
1.5848915884722107e-06,3.7997780846816434,2,2,0.2,200
1.9952754008774803e-06,3.911479660467278,2,2,0.2,200
2.5119927732462924e-06,3.9980875146451624,2,2,0.2,200
3.1623982359293494e-06,4.069778631208761,2,2,0.2,200
3.981068962036964e-06,4.171495853411993,2,2,0.2,200
5.011841036896864e-06,4.201312874717681,2,2,0.2,200
6.309615349491504e-06,4.254105033277413,2,2,0.2,200
7.943264519039212e-06,4.316878781375217,2,2,0.2,200
9.999992141211521e-06,4.342449560388627,2,2,0.2,200
1.2589339203136671e-05,4.376514257405698,2,2,0.2,200
1.5848887496488217e-05,4.418025412726134,2,2,0.2,200
1.995260979888925e-05,4.441808879540213,2,2,0.2,200
2.5119001950215127e-05,4.4503273388438505,2,2,0.2,200
3.1622780211158954e-05,4.487913764907618,2,2,0.2,200
3.9810633173257166e-05,4.48098302122804,2,2,0.2,200
5.011866190771699e-05,4.491901514196771,2,2,0.2,200
6.309568730494811e-05,4.504914560927109,2,2,0.2,200
7.94328119683753e-05,4.507820234171735,2,2,0.2,200
0.00010000001088788873,4.514924751932564,2,2,0.2,200
1.2746215749597328e-09,0.8705596553228632,2,2,0.1,300
1.5158984937935524e-09,0.9735539461515692,2,2,0.1,300
1.9704464903123387e-09,1.1053756563378854,2,2,0.1,300
2.5450283378706633e-09,1.2261420407756296,2,2,0.1,300
3.0909333508168438e-09,1.3375470341874636,2,2,0.1,300
4.070069386126641e-09,1.459118573750938,2,2,0.1,300
5.077877804528356e-09,1.5819999464231815,2,2,0.1,300
6.302495150487364e-09,1.7195265252333083,2,2,0.1,300
7.998524524537461e-09,1.8234118206025705,2,2,0.1,300
9.998304705918203e-09,1.9165738963513002,2,2,0.1,300
1.2594879236365693e-08,2.073239676603469,2,2,0.1,300
1.5864653318398254e-08,2.1599833520271203,2,2,0.1,300
1.9848702509093707e-08,2.274256423563896,2,2,0.1,300
2.516421793938718e-08,2.3718227819866597,2,2,0.1,300
3.1521629513550484e-08,2.4999180096798375,2,2,0.1,300
3.986148850405664e-08,2.59038176676059,2,2,0.1,300
5.01391240214372e-08,2.7011070716655126,2,2,0.1,300
6.303486889832988e-08,2.8063294906095138,2,2,0.1,300
7.937624703126451e-08,2.9299864985311173,2,2,0.1,300
9.997455393452872e-08,2.9927354338662915,2,2,0.1,300
1.2584049853696817e-07,3.117275700432246,2,2,0.1,300
1.5850402810398473e-07,3.2230775517638097,2,2,0.1,300
1.9953730121886146e-07,3.31260362239011,2,2,0.1,300
2.5114516854698705e-07,3.428511729732178,2,2,0.1,300
3.163023521882199e-07,3.4988736511102796,2,2,0.1,300
3.981131821330028e-07,3.6091296087235007,2,2,0.1,300
5.011694576758736e-07,3.693851809248003,2,2,0.1,300
6.309778163042069e-07,3.808950106055128,2,2,0.1,300
7.943998544014126e-07,3.876391674631633,2,2,0.1,300
1.0000345994905216e-06,3.9784106031735385,2,2,0.1,300
1.2589765737251135e-06,4.053589106888724,2,2,0.1,300
1.584886208082778e-06,4.103516231898105,2,2,0.1,300
1.995303823792974e-06,4.160552653614956,2,2,0.1,300
2.5118800091626026e-06,4.240532452555563,2,2,0.1,300
3.1623598833992878e-06,4.292290160906368,2,2,0.1,300
3.981105871403283e-06,4.334791236968636,2,2,0.1,300
5.0118748383856895e-06,4.3773604510034545,2,2,0.1,300
6.309556487821906e-06,4.414863411345546,2,2,0.1,300
7.94332907901623e-06,4.437659281495419,2,2,0.1,300
1.0000006869264864e-05,4.445103615786888,2,2,0.1,300
1.2589228515838489e-05,4.495831445528799,2,2,0.1,300
1.5848929667944947e-05,4.4972004297687365,2,2,0.1,300
1.995262918946368e-05,4.514827200094799,2,2,0.1,300
2.5118889322084977e-05,4.509823440536813,2,2,0.1,300
3.162279844780148e-05,4.533104728774601,2,2,0.1,300
3.981079213453882e-05,4.5553192853783395,2,2,0.1,300
5.0118691822747646e-05,4.524886255431101,2,2,0.1,300
6.309564406000965e-05,4.5393187574229765,2,2,0.1,300
7.943279874382193e-05,4.553949888344004,2,2,0.1,300
9.999998068656241e-05,4.562495449487487,2,2,0.1,300
1.34588581788627e-09,0.8487129503724923,2,1,0.5,500
1.5683092788020744e-09,0.9706598968843303,2,1,0.5,500
2.056742566245901e-09,1.057776089850475,2,1,0.5,500
2.5038526380004885e-09,1.1781443988418132,2,1,0.5,500
3.1850768511965405e-09,1.3021415978183577,2,1,0.5,500
4.047921350146511e-09,1.4213950128173043,2,1,0.5,500
5.012509154347181e-09,1.5621680528585702,2,1,0.5,500
6.235295117032449e-09,1.7071295514370213,2,1,0.5,500
7.927766128596787e-09,1.8359108164577922,2,1,0.5,500
9.962111161469728e-09,1.9995063113998923,2,1,0.5,500
1.2567523168289196e-08,2.150184065139523,2,1,0.5,500
1.5842079943914484e-08,2.3115771726655385,2,1,0.5,500
1.996856440579915e-08,2.4865784543759224,2,1,0.5,500
2.50152755572187e-08,2.680190639931882,2,1,0.5,500
3.161982236719438e-08,2.858902496340669,2,1,0.5,500
3.9734510856380314e-08,3.074659878160819,2,1,0.5,500
5.018252750384253e-08,3.270032895048214,2,1,0.5,500
6.307086297537994e-08,3.483636450193305,2,1,0.5,500
7.93475026812971e-08,3.6833011629633177,2,1,0.5,500
1.0000578736752561e-07,3.9328424056092115,2,1,0.5,500
1.258498683535784e-07,4.145945855625129,2,1,0.5,500
1.5849154954393128e-07,4.3927771573113725,2,1,0.5,500
1.9953783567479095e-07,4.633732462483914,2,1,0.5,500
2.512462922944454e-07,4.85038467439168,2,1,0.5,500
3.16205496225861e-07,5.102648796899989,2,1,0.5,500
3.9814143665140763e-07,5.345591484950173,2,1,0.5,500
5.011714170980566e-07,5.563355497459336,2,1,0.5,500
6.309566449370001e-07,5.783099253847049,2,1,0.5,500
7.94310597950334e-07,5.994103104976154,2,1,0.5,500
1.0000580660693975e-06,6.197345036103071,2,1,0.5,500
1.258924824280595e-06,6.39444176197555,2,1,0.5,500
1.5847785163474345e-06,6.560869892058461,2,1,0.5,500
1.995343160791463e-06,6.709737597323635,2,1,0.5,500
2.5119065221530082e-06,6.8658928530173435,2,1,0.5,500
3.1622061353302686e-06,6.984903370118617,2,1,0.5,500
3.981161500372555e-06,7.095823583726431,2,1,0.5,500
5.011902847173741e-06,7.185053963546114,2,1,0.5,500
6.309561820240408e-06,7.258044838803784,2,1,0.5,500
7.943323102363812e-06,7.320113328878253,2,1,0.5,500
1.000004957552768e-05,7.402197265149807,2,1,0.5,500
1.2589285949056689e-05,7.434538200893716,2,1,0.5,500
1.5848912789482564e-05,7.473570404824721,2,1,0.5,500
1.9952702652466388e-05,7.502526213904538,2,1,0.5,500
2.5118944779922918e-05,7.501820576170222,2,1,0.5,500
3.162271144517095e-05,7.512855667137697,2,1,0.5,500
3.9810615441617116e-05,7.562894496115731,2,1,0.5,500
5.011870609611865e-05,7.569363015105394,2,1,0.5,500
6.309570151591619e-05,7.583834357688397,2,1,0.5,500
7.943276153163866e-05,7.616275827499728,2,1,0.5,500
0.00010000004492365652,7.589602999123955,2,1,0.5,500
1.2192984815319447e-09,0.8254030721709497,1,1,0.6,500
1.5520267075621768e-09,0.9321239981556529,1,1,0.6,500
2.0088331247354016e-09,1.0336734968473407,1,1,0.6,500
2.466634909818792e-09,1.1661236999810782,1,1,0.6,500
